R,G,B,stdR,stdG,stdB,acc1,acc2,acc3,acc4,acc5,credit,watchthisinstagood,instagood,2instagood,instagood10k,yay,nay,suggested,like,photos,love,empty,soir,bdteam
160.274968262,156.428378906,160.169919434,68.839540699,70.7348695815,68.694141313,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
125.185939941,128.095822754,138.176748047,58.5579199539,62.6739223451,67.1069747124,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
114.735241699,105.633994141,107.687858887,82.2442150037,81.8840376075,76.6485574836,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
146.793198242,146.826538086,150.631833496,65.2417022578,66.4773162295,62.9267308454,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
148.202724609,146.267053223,151.50982666,67.4979965805,70.0422179013,67.0916055209,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
170.561369629,169.194934082,178.247824707,84.7726750431,90.4509247941,86.1054093818,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
165.696447754,162.644609375,169.710581055,72.2702166587,71.0446423888,72.2953595,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
174.545124512,152.607753906,160.042600098,81.5435546119,76.4495595265,72.0859761209,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
117.802387695,123.694204102,142.127712402,57.6650863161,63.417657377,49.0220831296,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
151.030974121,147.502260742,145.501196289,70.794389337,72.9197234909,77.4365421181,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
123.060029297,129.276589355,137.696828613,69.5020029078,68.2365137688,82.6989355678,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
142.744042969,140.804802246,147.954641113,68.0510322256,71.5729431578,67.2096816269,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
211.196235352,199.676887207,216.444765625,56.5185601298,50.571505639,44.5793396144,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
154.785878906,154.611616211,157.143415527,69.2700597555,69.1726059357,68.1884719429,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
169.223642578,162.227631836,163.026166992,77.110434951,75.4262350172,73.3180625411,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
138.356022949,149.09168457,167.155288086,75.6924526991,66.2290983183,67.6602895869,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
143.180737305,142.559992676,148.251777344,67.0390664152,69.7903851604,70.2154916339,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
163.325859375,171.607592773,192.565966797,72.4345702347,67.5720959447,55.07859365,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
112.047822266,108.991513672,113.064675293,59.4085909351,61.3662677267,62.5387312352,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
84.5225292969,79.5228417969,92.7950146484,50.8120594062,49.1845593122,49.7822076233,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
159.731452637,143.870761719,149.597243652,66.4448070343,69.596390074,80.8125390427,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
74.533972168,68.5713256836,69.0380786133,61.9068065598,55.8033217935,48.7453334878,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
154.977060547,156.492626953,162.768278809,73.4352598804,73.9913882588,72.5208521274,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
163.312158203,155.120285645,162.534382324,79.1204685192,82.4858760496,88.9658181896,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
204.638249512,193.073740234,192.578452148,72.3585821955,73.8215080492,68.5644961647,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
181.630322266,187.173344727,196.759929199,64.6866015826,58.7720196471,51.6010004492,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
129.08328125,121.199282227,132.617329102,66.1499424453,69.9162599245,72.2258335279,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
162.478549805,161.193820801,157.965695801,72.6171965193,77.2675003526,73.9851949036,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
207.148835449,196.062050781,209.297832031,54.2370677708,57.3232158594,55.0354964662,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
189.529243164,191.657785645,203.765224609,46.0384362423,43.9669468822,38.3324823966,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
155.647092285,156.172729492,161.862182617,85.3941114601,82.6199942548,82.134062449,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
151.100537109,142.974187012,142.430368652,62.9546838717,59.799478853,61.5065929132,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
198.007277832,197.152089844,192.090595703,42.8138336729,41.0842941061,44.2909532576,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
167.807807617,169.089282227,170.849731445,66.6670267936,65.196815178,63.4051805943,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
201.993310547,198.128342285,199.398837891,65.0977647749,67.0052619744,68.5307179472,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
111.914829102,121.677167969,131.227150879,53.9832236836,56.4475465448,58.893624448,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
206.565703125,203.608537598,206.220427246,63.6992709811,62.2120671234,58.0596823709,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
114.128618164,101.808066406,94.4372900391,70.907774026,69.4026832602,66.9391187806,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
115.218972168,110.571850586,110.971035156,68.2001936864,68.1809395374,72.7241899482,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
163.027932129,163.921286621,178.629897461,73.4521329409,70.5167522415,70.4651964299,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
128.154626465,124.951386719,140.095073242,53.3345492608,54.2033116532,56.1430998458,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
156.237207031,163.132617188,171.386506348,68.7144459018,65.9275258717,63.4938229421,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
127.03704834,119.819890137,127.493999023,75.9815444349,76.8478723693,73.4051034801,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
135.524743652,143.959436035,152.042712402,56.1810081071,59.7344328127,60.90414832,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
190.327331543,189.14064209,194.189379883,90.1876005936,88.1514763949,84.0641561437,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
144.859448242,147.45041748,158.842844238,87.9374465068,86.1929492735,79.9561043014,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
136.874250488,137.217177734,140.350449219,67.7612544709,69.7333214815,72.9042752009,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
139.425407715,145.873276367,155.059824219,51.380967923,50.289909483,48.1257549674,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
169.606694336,163.858852539,160.339868164,64.244555552,68.5557721549,68.7545910923,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
170.483620605,173.298181152,187.190910645,68.880511245,66.9555219934,60.9340495089,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
105.35097168,110.587053223,133.791696777,72.0702843159,71.3086104867,63.8599193754,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
139.092490234,134.072145996,138.721484375,78.6230644277,79.1805510253,78.7534186841,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
166.952226563,167.128847656,175.11401123,57.6118427218,58.1661162947,54.9723968106,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
150.308652344,154.575661621,162.801811523,76.6092202626,77.5715464414,77.3401280316,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
76.8010864258,78.68078125,80.6416918945,91.1482632573,89.491641401,89.6911522643,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
91.6485595703,84.7757739258,88.6789624023,64.0596605344,68.6683043974,66.2605756137,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
208.320805664,213.659316406,226.790820313,48.2358093075,41.7871036373,28.8012460009,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
195.551948242,195.849355469,198.832175293,69.1361521266,66.2053025189,62.0689067171,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
141.161584473,140.390087891,138.93651123,60.4859391051,55.2334952581,56.8484250237,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
143.434702148,125.834331055,153.503937988,52.9374571452,58.7982941887,51.3890741074,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
158.666337891,146.170202637,148.29463623,71.4609551982,81.5884406384,86.1217140584,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
114.900566406,118.314873047,129.960314941,78.3147000681,78.0479563894,75.6515347289,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
64.5747314453,61.2477246094,60.9050585937,54.2568329076,54.0580621345,53.5741609134,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
136.945463867,134.895019531,140.106789551,62.2218883754,64.37445293,64.841846469,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
152.574804688,143.87388916,145.95130127,60.6984242868,62.2430803513,62.3669236303,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
142.744042969,140.804802246,147.954641113,68.0510322256,71.5729431578,67.2096816269,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
63.359765625,81.7018969727,139.299682617,52.5329981151,61.3597435556,79.2627878083,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
142.330585937,140.44234375,143.071337891,91.6741444189,93.736910159,95.9475247906,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
146.263352051,136.739489746,147.832158203,73.2446542331,75.3569607685,72.4106865888,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
93.0326611328,110.83715332,132.92753418,59.9919023478,74.184359167,68.7587525158,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
224.701149902,213.926403809,212.283735352,37.4391682726,42.7224232728,48.9894699515,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
217.394973145,205.179221191,206.258132324,60.0606514708,61.2165487527,57.8695227736,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
141.912346191,148.924116211,156.340854492,79.0989619475,80.2310476942,79.3086571595,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
174.741352539,164.968955078,163.046481934,66.4258683221,64.0887121914,61.7319124815,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
194.875456543,189.450292969,193.062172852,73.77096037,76.1068705957,73.5326344016,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
159.35263916,157.345483398,155.232695312,53.4816766283,58.9228938822,63.7071365042,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
150.153188477,156.198293457,165.597480469,71.7395299763,71.9858499382,70.0516913949,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
164.348886719,164.177570801,163.930087891,82.0205989915,84.928593653,88.8294393317,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
110.749558105,109.643251953,110.819138184,70.1187178353,62.8966411825,60.41538057,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
108.263505859,114.752155762,131.837687988,63.5550277013,68.1799675856,66.3100183989,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
131.397463379,139.415192871,147.488234863,77.7132436348,82.0834192749,85.9146543967,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
129.220759277,124.91220459,126.618640137,76.2879102621,76.7279318237,77.0435016037,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
95.7832275391,107.95980957,126.875266113,70.1057737537,67.0505642043,62.565081315,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
168.247072754,177.392878418,190.461450195,64.978624922,57.9815062579,50.49829798,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
154.562441406,146.184597168,139.580739746,60.4624669095,61.6621515292,66.0349631043,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
123.670505371,127.487185059,133.146328125,55.5177498379,61.1603041965,61.0327409908,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
142.055576172,139.929057617,141.975932617,77.1028923767,79.9810054745,80.0732144035,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
130.288093262,134.25767334,139.327668457,69.9933588704,69.8256787895,71.4398398436,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
134.051274414,127.05072998,138.015598145,59.8000376649,60.1060270643,65.1418031298,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
110.906118164,91.2223193359,94.6993554687,45.4467506345,51.9986023502,56.8204662025,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
145.264133301,149.590488281,162.417155762,66.4512993276,66.3738644585,62.6698732627,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
154.999304199,154.986320801,155.692270508,78.8533347759,81.447915836,82.7842145375,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
114.699086914,105.251381836,102.013493652,69.7611526642,67.7660882402,64.868664461,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
231.186281738,224.527797852,233.724658203,34.5133358339,35.3735266883,24.7169938018,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
196.417329102,199.025532227,207.309858398,71.0962437509,67.6346019239,61.6870608796,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
192.278427734,190.598244629,203.998017578,73.3461049797,63.8539789388,55.8980636647,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
97.4220263672,73.3537988281,71.2196630859,50.3166572836,54.0435091936,57.6314792663,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
167.749726563,167.771813965,172.805830078,64.0143580156,64.9533016895,62.2748790817,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
134.511010742,129.616965332,133.273776855,69.2113339414,71.6700625913,80.6820525178,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
125.650131836,121.531650391,125.654018555,69.0137725052,70.1899783151,71.558293128,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
165.195539551,172.48918457,179.402128906,67.3958918583,64.7473411331,64.0984878441,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
117.874685059,115.186032715,122.478967285,79.7517390385,78.7803963456,80.7936704185,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
143.673237305,132.598535156,131.992299805,80.4757365509,76.4328911108,74.5669022713,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
161.948161621,161.271914063,168.520187988,52.419121349,48.6901182529,43.9452756129,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
157.223483887,152.954418945,153.732351074,66.9796383383,70.1284475987,67.0391483349,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
96.6606982422,106.868818359,120.687807617,56.116460682,72.8281593165,75.9294450253,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
188.299819336,186.27354248,196.289008789,63.7251832515,68.7038087455,63.2624628308,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
128.066005859,130.01845459,139.438647461,63.1660436931,63.5729539765,60.7210128529,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
140.376496582,133.123566895,120.325397949,72.1208270012,67.98927673,71.7153602308,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
149.126743164,161.276240234,172.906467285,65.5299165386,77.8880417696,64.3037096092,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
100.327290039,103.111682129,118.321408691,67.0051862599,70.6136362557,72.8320393557,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
142.879243164,145.31385498,151.581674805,84.6767241923,84.7778940051,82.7684237015,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
143.626162109,122.107280273,128.870778809,61.3991915164,70.1028635245,81.1861468362,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
108.208398438,104.583051758,104.027329102,65.1083989291,58.6794338661,51.6480550176,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
132.579733887,133.574655762,136.416176758,86.1784620098,87.3772790227,87.3907840158,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
118.224870605,128.611452637,140.441765137,69.7204520755,70.5711485108,72.0594478586,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
167.724187012,162.467827148,178.668991699,84.3139833713,78.9802038653,61.8135171681,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
153.866066895,156.373098145,157.206901855,75.8512597288,74.8570855775,74.6644663862,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
106.993796387,117.670244141,145.197431641,66.1053286481,72.5763551408,73.5314159465,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
156.980644531,156.403503418,163.273935547,60.8149035318,61.3303381363,58.776442174,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
119.855158691,118.296972656,117.484770508,64.9892617332,60.0205980318,61.7462094176,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
94.7921411133,99.4366479492,110.444597168,70.019611094,72.2537246971,62.7703484722,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
88.9577197266,94.9942919922,114.492893066,61.5011984566,61.6331953431,63.6375489396,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
125.987131348,131.550649414,145.867338867,49.5529221901,56.2728726333,57.7340046812,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
160.567788086,158.048337402,157.075310059,88.5445462157,91.0044354974,92.8994953438,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
194.839824219,191.917067871,191.076169434,57.1504664752,59.2794965451,60.5749128346,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
95.2959423828,84.8064526367,97.3032055664,47.6907774629,48.1444729562,44.318206311,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
110.413681641,117.382160645,126.812145996,77.0907229868,79.0303211171,78.3432818185,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
128.799287109,125.660708008,127.450651855,103.097757824,102.732982491,100.879255502,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
169.676772461,145.215229492,141.992614746,62.0277812438,67.3410327504,78.3928795311,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
184.044233398,186.278710937,190.665671387,66.3459053498,65.8971920703,66.6827681023,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
148.869304199,141.990932617,140.021564941,71.983959674,75.0876955776,79.9355022369,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
121.044926758,125.066342773,143.501628418,44.8957023554,53.199658046,56.5174716944,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
168.45057373,162.789404297,164.543320313,78.2496363523,80.9149278373,81.8446084953,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
172.819509277,167.02548584,177.213769531,64.9536581629,74.1415834526,69.6371514156,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
156.929929199,160.822963867,164.302277832,78.6075772177,79.0911456629,78.9128468634,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
160.16484375,167.229299316,185.287363281,85.5627324023,79.9080826164,66.1764180884,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
138.397526855,134.76824707,125.07482666,68.4121146358,55.9830616347,53.2318457179,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
115.363369141,124.32973877,139.068151855,76.6776966214,75.376497351,70.8737370806,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
92.5006665039,99.0184155273,125.189370117,68.2503740227,57.5322407084,41.3481715121,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
164.320786133,163.573122559,163.226459961,73.2074538579,76.0035555987,77.7340057784,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
162.472397461,171.100705566,191.632895508,54.339717224,54.0871721836,55.0633273997,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
67.7260058594,82.0855151367,117.663640137,45.0846749516,53.1894126433,66.3294429656,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
153.385424805,152.708017578,157.574707031,77.8288124371,78.6920511937,76.338138992,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
114.680068359,119.671621094,127.371513672,65.4749676507,76.6077899802,86.3564829558,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
206.308962402,198.18,201.880737305,49.2531192872,50.2854080533,46.9234765486,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
133.60605957,136.389482422,137.495212402,93.6999007095,90.8893725079,91.6373000331,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
148.328884277,145.098994141,171.928774414,73.3173613163,73.5618300267,62.0685784659,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
